;depth_mm;DB_1C_0-20mm;DB_1C_20-200mm;DB_1C_200-1000mm;DB_1D_0-20mm;DB_1D_200-1000mm;DB_1D_200-1000mm;DB_4C_0-20mm;DB_4C_200-1000mm;DB_4C_200-1000mm;DB_4D_0-20mm;DB_4D_200-1000mm;DB_4D_200-1000mm;DB_8C_0-20mm;DB_8C_200-1000mm;DB_8C_200-1000mm;DB_9D_0-20mm;DB_9D_200-1000mm;DB_9D_200-1000mm;NO_2C_0-20mm;NO_2C_200-1000mm;NO_2C_200-1000mm;NO_2D_0-20mm;NO_2D_200-1000mm;NO_2D_200-1000mm;NO_2E_0-20mm;NO_2E_200-1000mm;NO_2E_200-1000mm;NO_6C_0-20mm;NO_6C_200-1000mm;NO_6C_200-1000mm;NO_6D_0-20mm;NO_6D_200-1000mm;NO_6D_200-1000mm;NO_6E_0-20mm;NO_6E_200-1000mm;NO_6E_200-1000mm
510;510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
520;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
530;530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
540;540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
550;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
560;560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
570;570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
580;580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
590;590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
600;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
